wavelength_nm,x_location_cm,i_detected,L_vessel_cm,L_muscle_cm
660,-0.96,1.2065818e-05,0.00015221970259390814,5.953113656820142
660,-0.72,1.2326339e-05,0.0005642334552477237,6.593260345844926
660,-0.48,1.2028983e-05,0.002335682417225396,6.379237590302199
660,-0.24,1.0241972e-05,0.011988354670523936,5.6197054077965465
660,0.0,8.491075e-06,0.025319367663106704,4.752139728681425
660,0.24,1.0225139e-05,0.012086552834164946,5.555261837613328
660,0.48,1.22212905e-05,0.0031627825842862616,6.3167606892110735
660,0.72,1.1948435e-05,0.0007585678582963215,6.578499797258875
660,0.96,1.2092051e-05,0.00018596425171475356,6.020270331185691
660,1.2,1.1774773e-05,7.518014521299195e-05,4.212151568995482
850,-0.96,9.155559e-06,0.00025715377438598213,4.634234735627882
850,-0.72,8.322428e-06,0.0009338985855144458,4.888029338384803
850,-0.48,7.815024e-06,0.003880474495240734,4.888893287449479
850,-0.24,7.159577e-06,0.015175110689252265,4.639819943958605
850,0.0,5.9126805e-06,0.03250837978600724,4.1984280215183345
850,0.24,7.4278355e-06,0.015883466512729937,4.508850598411914
850,0.48,8.057463e-06,0.004242264095229475,5.043216592239952
850,0.72,8.842799e-06,0.0009146425500578027,4.876146121471682
850,0.96,8.51798e-06,0.00018196369956579485,4.644790608372028
850,1.2,9.09502e-06,9.329776611787109e-05,3.2739254501963995
940,-0.96,1.23112495e-05,1.1231443915654742e-05,1.9511350349525232
940,-0.72,1.2658684e-05,0.00010942034699465529,2.0576398230539934
940,-0.48,1.2287071e-05,0.0008353809244963853,2.0139319960647764
940,-0.24,1.1188622e-05,0.005787289567079228,1.9340861367482745
940,0.0,1.0393073e-05,0.012477079416362828,1.7760005278584938
940,0.24,1.0954994e-05,0.005250309107994817,1.946142071704753
940,0.48,1.2721262e-05,0.0007309029164216507,2.0282716828809253
940,0.72,1.2039288e-05,0.0001506444423073916,2.047834765557454
940,0.96,1.2632978e-05,1.0706979350985519e-05,1.9375129387781493
940,1.2,1.2362133e-05,1.3014547705342046e-06,1.3747785492516396
